Pais,Continente,Casos,Avg,Max,Std
Micronesia (Federated States Of),Oceania,0.00,0.00,0.00,0.00
Moldova,Europe,372200.00,4002.00,11487.00,3221.00
Monaco,Europe,4423.00,43.00,309.00,54.00
Mongolia,Asia,687432.00,7472.00,66940.00,13987.00
Montenegro,Europe,160995.00,1750.00,4776.00,1487.00
Montserrat,America,44.00,0.00,8.00,1.00
Morocco,Africa,952814.00,10245.00,66565.00,14025.00
Mozambique,Africa,160457.00,1744.00,13253.00,2739.00
Myanmar,Asia,528253.00,5805.00,40004.00,8645.00
Namibia,Africa,139518.00,1500.00,10883.00,2296.00
Nepal,Asia,825736.00,8017.00,60353.00,12110.00
Netherlands,Europe,3164587.00,30139.00,157124.00,34350.00
New Caledonia,Oceania,12519.00,136.00,2776.00,463.00
New Zealand,Oceania,13125.00,127.00,1672.00,284.00
Nicaragua,America,17391.00,189.00,718.00,192.00
Niger,Africa,7199.00,78.00,500.00,104.00
Nigeria,Africa,223905.00,2174.00,12609.00,2467.00
North Macedonia,Europe,221285.00,2148.00,7710.00,2258.00
Northern Mariana Islands,Oceania,2422.00,27.00,804.00,112.00
Norway,Europe,404345.00,3851.00,34160.00,6363.00
Oman,Asia,304874.00,2960.00,15938.00,3487.00
Pakistan,Asia,1291467.00,12539.00,40807.00,10909.00
Palau,Oceania,8.00,0.00,3.00,1.00
Palestine,Asia,466325.00,5014.00,16938.00,4996.00
Panama,America,483386.00,5198.00,25460.00,4798.00
Papua New Guinea,Oceania,36006.00,391.00,3854.00,681.00
Paraguay,America,464630.00,4996.00,22413.00,5653.00
Peru,America,2266205.00,24109.00,63111.00,17508.00
Philippines,Asia,2837577.00,27549.00,146383.00,32912.00
Poland,Europe,4105613.00,39101.00,194006.00,53751.00
Portugal,Europe,1437619.00,13692.00,149647.00,20939.00
Puerto Rico,America,195867.00,2152.00,7750.00,1896.00
Qatar,Asia,246537.00,2394.00,13196.00,2693.00
Romania,Europe,1813838.00,17275.00,103685.00,22696.00
Russia,Europe,10214790.00,99173.00,320705.00,77721.00
Rwanda,Africa,101582.00,1092.00,9078.00,1801.00
Saint Kitts And Nevis,America,2801.00,31.00,409.00,70.00
Saint Lucia,America,13166.00,142.00,994.00,230.00
Saint Vincent And The Grenadines,America,5758.00,63.00,529.00,112.00
Samoa,Oceania,2.00,0.00,1.00,0.00
San Marino,Europe,7160.00,70.00,560.00,103.00
Sao Tome And Principe,Africa,3742.00,42.00,295.00,61.00
Saudi Arabia,Asia,550842.00,5860.00,30071.00,6569.00
Senegal,Africa,74161.00,797.00,5921.00,1162.00
Serbia,Europe,1282461.00,13790.00,50438.00,15865.00
Seychelles,Africa,24128.00,259.00,2373.00,384.00
Sierra Leone,Africa,6505.00,72.00,502.00,104.00
Singapore,Asia,275910.00,2679.00,25730.00,5668.00
Sint Maarten,America,4696.00,52.00,245.00,52.00
Slovakia,Europe,1377399.00,13118.00,78105.00,18674.00
Slovenia,Europe,467636.00,4454.00,22695.00,5274.00
Solomon Islands,Oceania,20.00,0.00,5.00,1.00
Somalia,Africa,23169.00,252.00,1240.00,301.00
South Africa,Africa,3308074.00,35192.00,140577.00,38185.00
South Korea,Asia,570414.00,5538.00,47326.00,8345.00
South Sudan,Africa,13459.00,150.00,1343.00,240.00
Spain,Europe,6891137.00,65630.00,791378.00,100061.00
Sri Lanka,Asia,579685.00,5628.00,41210.00,8098.00
Sudan,Africa,45826.00,493.00,5206.00,681.00
Suriname,America,51416.00,559.00,3505.00,739.00
Sweden,Europe,1347269.00,12831.00,59340.00,14348.00
Switzerland,Europe,1169968.00,11359.00,71879.00,14662.00
Syria,Asia,49751.00,541.00,2623.00,552.00
Taiwan,Asia,16816.00,163.00,4189.00,577.00
Tajikistan,Asia,17493.00,203.00,1214.00,248.00
Thailand,Asia,2194053.00,21301.00,159629.00,37452.00
Timor Leste,Asia,19833.00,216.00,2186.00,413.00
Togo,Africa,26742.00,288.00,1702.00,368.00
Tonga,Oceania,1.00,0.00,1.00,0.00
Trinidad And Tobago,America,85837.00,923.00,5799.00,1267.00
Tunisia,Africa,721103.00,7754.00,55762.00,9745.00
Turkey,Europe,9154209.00,98432.00,419436.00,86883.00
Turks And Caicos Islands,America,3172.00,35.00,217.00,46.00
Uganda,Africa,129145.00,1419.00,21714.00,2838.00
Ukraine,Europe,3610687.00,38825.00,152263.00,39580.00
United Arab Emirates,Asia,744137.00,7225.00,29405.00,6898.00
United Kingdom,Europe,12740603.00,122506.00,923450.00,150995.00
United Republic Of Tanzania,Africa,26483.00,288.00,15953.00,1883.00
United States Of America,America,50846941.00,493660.00,1782792.00,431866.00
United States Virgin Islands,America,7681.00,84.00,370.00,79.00
Uruguay,America,404821.00,4353.00,27376.00,7206.00
Uzbekistan,Asia,197268.00,2121.00,6427.00,1675.00
Vanuatu,Oceania,7.00,0.00,2.00,0.00
Venezuela,America,441228.00,4744.00,10972.00,3063.00
Vietnam,Asia,1540478.00,14956.00,129596.00,30809.00
Wallis And Futuna,Oceania,453.00,7.00,176.00,29.00
Western Sahara,Africa,766.00,9.00,311.00,46.00
Yemen,Asia,10101.00,113.00,825.00,154.00
Zambia,Africa,216508.00,2353.00,19535.00,3939.00
Zimbabwe,Africa,192796.00,2096.00,28094.00,4823.00
